Time (s),SCL (V)
-7.265989830508475e-05,-0.1047571844283158
-7.263989830508474e-05,-0.09736384437334342
-7.261989830508475e-05,-0.1047571844283158
-7.259989830508475e-05,-0.1047571844283158
-7.257989830508475e-05,-0.09366717434585722
-7.255989830508474e-05,-0.1121505244832882
-7.253989830508474e-05,-0.1047571844283158
-7.251989830508475e-05,-0.1010605144008296
-7.249989830508475e-05,-0.1195438645382607
-7.247989830508475e-05,-0.08627383429088481
-7.245989830508474e-05,-0.1047571844283158
-7.243989830508475e-05,-0.1158471945107744
-7.241989830508475e-05,-0.08997050431837103
-7.239989830508475e-05,-0.1010605144008296
-7.237989830508474e-05,-0.108453854455802
-7.235989830508475e-05,-0.1010605144008296
-7.233989830508475e-05,-0.1047571844283158
-7.231989830508475e-05,-0.1010605144008296
-7.229989830508474e-05,-0.1010605144008296
-7.227989830508475e-05,-0.1121505244832882
-7.225989830508475e-05,-0.09366717434585722
-7.223989830508475e-05,-0.09366717434585722
-7.221989830508474e-05,-0.1010605144008296
-7.219989830508475e-05,-0.08627383429088481
-7.217989830508475e-05,-0.1047571844283158
-7.215989830508475e-05,-0.1047571844283158
-7.213989830508475e-05,-0.08627383429088481
-7.211989830508474e-05,-0.1047571844283158
-7.209989830508475e-05,-0.08997050431837103
-7.207989830508475e-05,-0.08997050431837103
-7.205989830508475e-05,-0.1121505244832882
-7.203989830508474e-05,-0.09366717434585722
-7.201989830508475e-05,-0.08627383429088481
-7.199989830508475e-05,-0.09366717434585722
-7.197989830508475e-05,-0.08257716426339862
-7.195989830508474e-05,-0.1047571844283158
-7.193989830508475e-05,-0.1047571844283158
-7.191989830508475e-05,-0.09366717434585722
-7.189989830508475e-05,-0.1010605144008296
-7.187989830508474e-05,-0.1010605144008296
-7.185989830508475e-05,-0.07148715418094001
-7.183989830508475e-05,-0.09736384437334342
-7.181989830508475e-05,-0.08997050431837103
-7.179989830508475e-05,-0.08997050431837103
-7.177989830508474e-05,-0.1047571844283158
-7.175989830508475e-05,-0.0788804942359124
-7.173989830508475e-05,-0.09366717434585722
-7.171989830508475e-05,-0.1047571844283158
-7.169989830508474e-05,-0.09736384437334342
-7.167989830508475e-05,-0.08997050431837103
-7.165989830508475e-05,-0.1047571844283158
-7.163989830508475e-05,-0.0751838242084262
-7.161989830508474e-05,-0.09736384437334342
-7.159989830508475e-05,-0.1047571844283158
-7.157989830508475e-05,-0.09736384437334342
-7.155989830508475e-05,-0.1121505244832882
-7.153989830508474e-05,-0.09366717434585722
-7.151989830508475e-05,-0.09736384437334342
-7.149989830508475e-05,-0.108453854455802
-7.147989830508475e-05,-0.08257716426339862
-7.145989830508474e-05,-0.0788804942359124
-7.143989830508474e-05,-0.108453854455802
-7.141989830508475e-05,-0.0788804942359124
-7.139989830508475e-05,-0.09366717434585722
-7.137989830508475e-05,-0.1158471945107744
-7.135989830508474e-05,-0.09366717434585722
-7.133989830508475e-05,-0.1010605144008296
-7.131989830508475e-05,-0.09366717434585722
-7.129989830508475e-05,-0.08627383429088481
-7.127989830508474e-05,-0.108453854455802
-7.125989830508475e-05,-0.08997050431837103
-7.123989830508475e-05,-0.09366717434585722
-7.121989830508475e-05,-0.1195438645382607
-7.119989830508474e-05,-0.0788804942359124
-7.117989830508475e-05,-0.08997050431837103
-7.115989830508475e-05,-0.1047571844283158
-7.113989830508475e-05,-0.0788804942359124
-7.111989830508474e-05,-0.09736384437334342
-7.109989830508474e-05,-0.09736384437334342
-7.107989830508475e-05,-0.0751838242084262
-7.105989830508475e-05,-0.09736384437334342
-7.103989830508475e-05,-0.09366717434585722
-7.101989830508474e-05,-0.0751838242084262
-7.099989830508475e-05,-0.1010605144008296
-7.097989830508475e-05,-0.0788804942359124
-7.095989830508475e-05,-0.09366717434585722
-7.093989830508474e-05,-0.108453854455802
-7.091989830508475e-05,-0.08257716426339862
-7.089989830508475e-05,-0.08627383429088481
-7.087989830508475e-05,-0.1010605144008296
-7.085989830508474e-05,-0.08627383429088481
-7.083989830508475e-05,-0.09366717434585722
-7.081989830508475e-05,-0.08997050431837103
-7.079989830508475e-05,-0.0751838242084262
-7.077989830508474e-05,-0.1010605144008296
-7.075989830508474e-05,-0.08627383429088481
-7.073989830508475e-05,-0.0751838242084262
-7.071989830508475e-05,-0.1121505244832882
-7.069989830508475e-05,-0.08997050431837103
-7.067989830508474e-05,-0.09736384437334342
-7.065989830508475e-05,-0.09736384437334342
-7.063989830508475e-05,-0.08257716426339862
-7.061989830508475e-05,-0.1047571844283158
-7.059989830508474e-05,-0.08997050431837103
-7.057989830508475e-05,-0.0751838242084262
-7.055989830508475e-05,-0.09736384437334342
-7.053989830508475e-05,-0.08997050431837103
-7.051989830508474e-05,-0.0788804942359124
-7.049989830508475e-05,-0.108453854455802
-7.047989830508475e-05,-0.0788804942359124
-7.045989830508475e-05,-0.09366717434585722
-7.043989830508474e-05,-0.09366717434585722
-7.041989830508474e-05,-0.08257716426339862
-7.039989830508475e-05,-0.1047571844283158
-7.037989830508475e-05,-0.108453854455802
-7.035989830508475e-05,-0.1010605144008296
-7.033989830508474e-05,-0.1121505244832882
-7.031989830508475e-05,-0.09736384437334342
-7.029989830508475e-05,-0.0751838242084262
-7.027989830508475e-05,-0.1047571844283158
-7.025989830508474e-05,-0.09366717434585722
-7.023989830508475e-05,-0.09736384437334342
-7.021989830508475e-05,-0.09366717434585722
-7.019989830508475e-05,-0.08257716426339862
-7.017989830508474e-05,-0.09736384437334342
-7.015989830508475e-05,-0.1121505244832882
-7.013989830508475e-05,-0.0788804942359124
-7.011989830508475e-05,-0.1232405345657469
-7.009989830508474e-05,-0.1010605144008296
-7.007989830508475e-05,-0.08627383429088481
-7.005989830508475e-05,-0.108453854455802
-7.003989830508475e-05,2.490305174866999
-7.001989830508475e-05,4.493900329764521
-6.999989830508474e-05,4.608497100616593
-6.997989830508475e-05,4.930107393007893
-6.995989830508475e-05,4.730487211523638
-6.993989830508475e-05,4.859870662485656
-6.991989830508474e-05,4.811813952128334
-6.989989830508475e-05,4.719397201441179
-6.987989830508475e-05,4.822903962210793
-6.985989830508475e-05,4.74897056166107
-6.983989830508474e-05,4.793330601990903
-6.981989830508475e-05,4.808117282100849
-6.979989830508475e-05,4.778543921880959
-6.977989830508475e-05,4.808117282100849
-6.975989830508474e-05,4.822903962210793
-6.973989830508475e-05,4.79702727201839
-6.971989830508475e-05,4.800723942045876
-6.969989830508475e-05,4.811813952128334
-6.967989830508474e-05,4.793330601990903
-6.965989830508474e-05,4.830297302265766
-6.963989830508475e-05,4.808117282100849
